data_source,trainer,workers,batch_size,mean_s,std_s,count,noop_s,overhead_s,overhead_pct
disk,codecarbon,0,32,98.0,1.0,3,72.0,26.0,36.11111111111111
disk,codecarbon,0,64,93.66666666666667,0.5773502691896247,3,71.33333333333333,22.333333333333343,31.308411214953285
disk,codecarbon,0,128,91.66666666666667,1.1547005383792526,3,70.33333333333333,21.333333333333343,30.331753554502384
disk,codecarbon,4,32,118.66666666666667,0.5773502691896247,3,114.5,4.166666666666671,3.6390101892285336
disk,codecarbon,4,64,117.0,1.7320508075688772,3,112.66666666666667,4.333333333333329,3.8461538461538414
disk,codecarbon,4,128,121.0,2.6457513110645907,3,116.33333333333333,4.666666666666671,4.01146131805158
disk,codecarbon_e2e,0,32,96.66666666666667,0.5773502691896247,3,72.0,24.66666666666667,34.25925925925927
disk,codecarbon_e2e,0,64,93.0,0.0,3,71.33333333333333,21.66666666666667,30.373831775700943
disk,codecarbon_e2e,0,128,91.66666666666667,0.5773502691896278,3,70.33333333333333,21.333333333333343,30.331753554502384
disk,codecarbon_e2e,4,32,118.0,1.4142135623730951,2,114.5,3.5,3.056768558951965
disk,codecarbon_e2e,4,64,116.33333333333333,1.1547005383792495,3,112.66666666666667,3.666666666666657,3.254437869822477
disk,codecarbon_e2e,4,128,117.66666666666667,2.88675134594813,3,116.33333333333333,1.3333333333333428,1.1461318051576013
disk,noop,0,32,72.0,0.0,3,72.0,0.0,0.0
disk,noop,0,64,71.33333333333333,0.5773502691896247,3,71.33333333333333,0.0,0.0
disk,noop,0,128,70.33333333333333,0.5773502691896247,3,70.33333333333333,0.0,0.0
disk,noop,4,32,114.5,0.7071067811865476,2,114.5,0.0,0.0
disk,noop,4,64,112.66666666666667,1.1547005383792526,3,112.66666666666667,0.0,0.0
disk,noop,4,128,116.33333333333333,3.7859388972001837,3,116.33333333333333,0.0,0.0
disk,phase_times,0,32,96.0,0.0,3,72.0,24.0,33.33333333333333
disk,phase_times,0,64,93.66666666666667,1.1547005383792526,3,71.33333333333333,22.333333333333343,31.308411214953285
disk,phase_times,0,128,94.33333333333333,0.5773502691896247,3,70.33333333333333,24.0,34.12322274881517
disk,phase_times,4,32,118.0,1.0,3,114.5,3.5,3.056768558951965
disk,phase_times,4,64,116.66666666666667,1.1547005383792526,3,112.66666666666667,4.0,3.5502958579881656
disk,phase_times,4,128,120.0,3.4641016151377544,3,116.33333333333333,3.6666666666666714,3.151862464183385
disk,resource_util,0,32,98.0,0.0,3,72.0,26.0,36.11111111111111
disk,resource_util,0,64,95.33333333333333,0.5773502691896278,3,71.33333333333333,24.0,33.64485981308412
disk,resource_util,0,128,94.33333333333333,2.309401076758502,3,70.33333333333333,24.0,34.12322274881517
disk,resource_util,4,32,119.33333333333333,1.5275252316519485,3,114.5,4.833333333333329,4.22125181950509
disk,resource_util,4,64,119.0,1.0,3,112.66666666666667,6.333333333333329,5.621301775147924
disk,resource_util,4,128,124.33333333333333,0.5773502691896278,3,116.33333333333333,8.0,6.876790830945559
disk,resource_util_max,0,32,96.02091389633334,0.7715537562407433,3,72.0,24.02091389633334,33.36238041157408
disk,resource_util_max,0,64,93.949594788,0.7925411226331143,3,71.33333333333333,22.61626145466667,31.705039422429916
disk,resource_util_max,0,128,91.755926567,0.26935835398165875,3,70.33333333333333,21.422593233666674,30.458663365402856
disk,resource_util_max,4,32,116.62053165633334,1.0425632093041919,3,114.5,2.120531656333341,1.8519927129548832
disk,resource_util_max,4,64,116.62284638066666,1.1717739116519874,3,112.66666666666667,3.956179713999987,3.51140211301774
disk,resource_util_max,4,128,118.96771735333334,2.9891232039086186,3,116.33333333333333,2.634384020000013,2.264513484240699
disk,simple,0,32,95.66666666666667,0.5773502691896278,3,72.0,23.66666666666667,32.87037037037038
disk,simple,0,64,94.33333333333333,0.5773502691896247,3,71.33333333333333,23.0,32.24299065420561
disk,simple,0,128,92.33333333333333,0.5773502691896247,3,70.33333333333333,22.0,31.27962085308057
disk,simple,4,32,115.66666666666667,1.1547005383792526,3,114.5,1.1666666666666714,1.0189228529839924
disk,simple,4,64,115.66666666666667,0.5773502691896247,3,112.66666666666667,3.0,2.662721893491124
disk,simple,4,128,117.66666666666667,3.055050463303895,3,116.33333333333333,1.3333333333333428,1.1461318051576013
milabench,codecarbon,0,32,217.0,0.0,3,211.0,6.0,2.843601895734597
milabench,codecarbon,0,64,215.66666666666666,0.5773502691896216,3,208.66666666666666,7.0,3.3546325878594248
milabench,codecarbon,0,128,211.66666666666666,0.5773502691896278,3,205.0,6.666666666666657,3.2520325203251987
milabench,codecarbon,4,32,238.66666666666666,1.1547005383792557,3,224.66666666666666,14.0,6.231454005934718
milabench,codecarbon,4,64,219.0,0.0,3,213.0,6.0,2.8169014084507045
milabench,codecarbon,4,128,215.66666666666666,0.5773502691896216,3,210.0,5.666666666666657,2.698412698412694
milabench,codecarbon_e2e,0,32,220.66666666666666,0.5773502691896216,3,211.0,9.666666666666657,4.581358609794624
milabench,codecarbon_e2e,0,64,217.0,0.0,3,208.66666666666666,8.333333333333343,3.993610223642177
milabench,codecarbon_e2e,0,128,212.0,0.0,3,205.0,7.0,3.414634146341464
milabench,codecarbon_e2e,4,32,238.66666666666666,7.5718777944003675,3,224.66666666666666,14.0,6.231454005934718
milabench,codecarbon_e2e,4,64,221.33333333333334,0.5773502691896278,3,213.0,8.333333333333343,3.9123630672926493
milabench,codecarbon_e2e,4,128,216.33333333333334,0.5773502691896216,3,210.0,6.333333333333343,3.0158730158730203
milabench,noop,0,32,211.0,0.0,2,211.0,0.0,0.0
milabench,noop,0,64,208.66666666666666,0.5773502691896216,3,208.66666666666666,0.0,0.0
milabench,noop,0,128,205.0,0.0,3,205.0,0.0,0.0
milabench,noop,4,32,224.66666666666666,2.0816659994661366,3,224.66666666666666,0.0,0.0
milabench,noop,4,64,213.0,0.0,3,213.0,0.0,0.0
milabench,noop,4,128,210.0,0.0,3,210.0,0.0,0.0
milabench,phase_times,0,32,213.33333333333334,0.5773502691896278,3,211.0,2.333333333333343,1.10584518167457
milabench,phase_times,0,64,214.0,0.0,3,208.66666666666666,5.333333333333343,2.555910543130995
milabench,phase_times,0,128,211.0,0.0,3,205.0,6.0,2.9268292682926833
milabench,phase_times,4,32,224.66666666666666,2.886751345948127,3,224.66666666666666,0.0,0.0
milabench,phase_times,4,64,217.0,0.0,3,213.0,4.0,1.8779342723004695
milabench,phase_times,4,128,214.66666666666666,0.5773502691896278,3,210.0,4.666666666666657,2.222222222222218
milabench,resource_util,0,32,214.66666666666666,0.5773502691896278,3,211.0,3.666666666666657,1.7377567140600272
milabench,resource_util,0,64,214.33333333333334,0.5773502691896216,3,208.66666666666666,5.666666666666686,2.7156549520766866
milabench,resource_util,0,128,211.0,0.0,3,205.0,6.0,2.9268292682926833
milabench,resource_util,4,32,231.33333333333334,2.886751345948133,3,224.66666666666666,6.666666666666686,2.967359050445112
milabench,resource_util,4,64,217.66666666666666,0.5773502691896216,3,213.0,4.666666666666657,2.1909233176838767
milabench,resource_util,4,128,215.0,0.0,3,210.0,5.0,2.380952380952381
milabench,resource_util_max,0,32,215.12746611233334,0.3707222914504287,3,211.0,4.127466112333337,1.9561450769352309
milabench,resource_util_max,0,64,215.324776604,0.20683298014004828,3,208.66666666666666,6.658109937333336,3.1907875099041547
milabench,resource_util_max,0,128,211.6698927396667,0.17635311635338213,3,205.0,6.669892739666693,3.253606214471558
milabench,resource_util_max,4,32,224.62318035966666,4.727382734161907,3,224.66666666666666,-0.043486306999994895,-0.01935592299703037
milabench,resource_util_max,4,64,218.18270916933332,0.029521122021249277,3,213.0,5.182709169333322,2.4331967931142353
milabench,resource_util_max,4,128,216.07876116066666,0.24711862198836282,3,210.0,6.078761160666659,2.8946481717460277
milabench,simple,0,32,213.33333333333334,0.5773502691896216,3,211.0,2.333333333333343,1.10584518167457
milabench,simple,0,64,214.0,0.0,3,208.66666666666666,5.333333333333343,2.555910543130995
milabench,simple,0,128,210.66666666666666,0.5773502691896278,3,205.0,5.666666666666657,2.7642276422764183
milabench,simple,4,32,231.66666666666666,3.2145502536643145,3,224.66666666666666,7.0,3.115727002967359
milabench,simple,4,64,217.33333333333334,0.5773502691896278,3,213.0,4.333333333333343,2.0344287949921798
milabench,simple,4,128,215.0,0.0,3,210.0,5.0,2.380952380952381
